custid,gender,총구매액,구매건수,평균구매가격,평균할부개월수,구매브랜드종류,내점일수,수입상품_구매비율,주말방문비율,가을_구매건수,겨울_구매건수,봄_구매건수,여름_구매건수,아침_구매건수,저녁_구매건수,점심_구매건수,주구매코너
413,0,825200,11,75018,2.6,4,4,9.1,75.0,8.0,,,3.0,,1.0,10.0,영캐주얼
422,0,704100,9,78233,1.9,9,5,11.1,80.0,6.0,3.0,,,,5.0,4.0,영캐주얼
434,0,4610752,112,41167,1.1,57,51,6.2,47.1,17.0,41.0,20.0,34.0,27.0,48.0,37.0,일반식품
454,0,949600,7,135657,3.0,7,3,14.3,100.0,,1.0,6.0,,,3.0,4.0,영캐주얼
463,0,348500,6,58083,1.5,5,3,16.7,0.0,,,6.0,,,2.0,4.0,유니캐주얼
468,0,796400,20,39820,1.3,12,17,20.0,47.1,6.0,5.0,6.0,3.0,3.0,7.0,10.0,일반식품
469,0,1347700,19,70932,1.8,12,12,10.5,83.3,2.0,7.0,5.0,5.0,,2.0,17.0,화장품
474,0,779800,12,64983,1.9,11,7,8.3,28.6,1.0,1.0,1.0,9.0,,8.0,4.0,유니캐주얼
484,0,1977900,27,73256,2.9,14,21,11.1,61.9,3.0,13.0,7.0,4.0,,12.0,15.0,유니캐주얼
488,0,438988,11,39908,1.5,8,10,18.2,40.0,1.0,3.0,5.0,2.0,,2.0,9.0,일반식품
501,0,161000,4,40250,1.0,4,3,0.0,0.0,,,4.0,,,,4.0,유니캐주얼
511,0,157900,4,39475,1.5,4,3,0.0,100.0,,,4.0,,,2.0,2.0,화장품
516,0,7467900,53,140904,1.8,36,25,5.7,40.0,9.0,12.0,25.0,7.0,3.0,17.0,33.0,유니캐주얼
538,0,381800,5,76360,1.8,5,3,20.0,33.3,,1.0,4.0,,,2.0,3.0,유니캐주얼
543,0,1751905,31,56513,2.2,17,17,9.7,35.3,2.0,10.0,5.0,14.0,2.0,11.0,18.0,영캐주얼
552,0,2592200,36,72006,2.2,20,17,2.8,52.9,11.0,6.0,19.0,,5.0,7.0,24.0,유니캐주얼
560,0,2323200,68,34165,2.0,39,33,2.9,30.3,15.0,16.0,20.0,17.0,12.0,21.0,35.0,유니캐주얼
562,0,247000,3,82333,3.0,3,3,33.3,33.3,1.0,1.0,1.0,,,1.0,2.0,장신구
568,0,2612400,14,186600,2.6,11,6,7.1,0.0,,,6.0,8.0,4.0,,10.0,스포츠
575,0,525300,12,43775,1.7,10,6,25.0,33.3,,6.0,6.0,,1.0,6.0,5.0,화장품
585,0,2698100,38,71003,1.0,26,10,0.0,70.0,16.0,5.0,17.0,,2.0,10.0,26.0,유니캐주얼
606,0,3467400,33,105073,2.9,26,17,6.1,76.5,3.0,9.0,12.0,9.0,4.0,7.0,22.0,유니캐주얼
609,0,1428600,17,84035,1.7,14,10,11.8,30.0,,2.0,13.0,2.0,1.0,10.0,6.0,캐릭터캐주얼
618,0,252000,9,28000,2.1,6,5,0.0,20.0,2.0,,4.0,3.0,2.0,3.0,4.0,피혁B
624,0,1563700,22,71077,1.3,13,13,13.6,46.2,5.0,3.0,7.0,7.0,,5.0,17.0,캐릭터캐주얼
632,0,933000,21,44429,1.5,17,16,14.3,62.5,2.0,7.0,7.0,5.0,6.0,9.0,6.0,유니캐주얼
633,0,1265800,6,210967,2.3,5,2,16.7,50.0,,6.0,,,,4.0,2.0,유니캐주얼
635,0,3946800,18,219267,1.3,14,10,22.2,60.0,,8.0,10.0,,,6.0,12.0,캐릭터캐주얼
636,0,825200,10,82520,1.9,10,7,30.0,42.9,4.0,3.0,2.0,1.0,,6.0,4.0,화장품
642,0,2772400,27,102681,1.6,18,13,37.0,46.2,5.0,5.0,9.0,8.0,,1.0,26.0,화장품
685,0,366450,14,26175,1.0,9,10,14.3,0.0,4.0,4.0,3.0,3.0,1.0,2.0,11.0,일반식품
714,0,1284000,14,91714,1.4,10,9,35.7,44.4,,12.0,2.0,,2.0,8.0,4.0,화장품
732,0,3030740,22,137761,2.0,16,13,4.5,46.2,,15.0,7.0,,1.0,8.0,13.0,캐릭터캐주얼
736,0,331300,6,55217,2.7,5,2,0.0,50.0,,,,6.0,1.0,5.0,,영캐주얼
743,0,540000,4,135000,4.2,4,2,25.0,100.0,2.0,,,2.0,,,4.0,화장품
744,0,1223400,7,174771,1.3,4,6,57.1,66.7,1.0,5.0,1.0,,,3.0,4.0,화장품
754,0,256000,6,42667,1.7,2,6,16.7,50.0,2.0,1.0,1.0,2.0,,4.0,2.0,화장품
768,0,109000,1,109000,3.0,1,1,100.0,0.0,,,1.0,,,1.0,,화장품
774,0,882679,24,36778,1.2,8,20,12.5,25.0,6.0,7.0,7.0,4.0,,14.0,10.0,일반식품
782,0,373600,10,37360,1.2,10,10,20.0,10.0,,3.0,7.0,,3.0,6.0,1.0,유니캐주얼
784,0,657800,5,131560,1.0,5,4,20.0,100.0,3.0,1.0,,1.0,,2.0,3.0,영캐주얼
791,0,226000,3,75333,1.7,3,3,33.3,0.0,1.0,,2.0,,,2.0,1.0,화장품
807,0,1579400,22,71791,2.7,14,15,31.8,33.3,,,6.0,16.0,,9.0,13.0,화장품
829,0,1157500,16,72344,1.5,16,10,6.2,70.0,1.0,1.0,4.0,10.0,5.0,6.0,5.0,유니캐주얼
830,0,951500,6,158583,3.7,5,4,0.0,75.0,,,6.0,,1.0,1.0,4.0,엘레강스캐주얼
831,0,681400,13,52415,1.3,8,7,0.0,57.1,3.0,3.0,6.0,1.0,1.0,7.0,5.0,유니캐주얼
836,0,254800,3,84933,1.7,3,2,0.0,100.0,,,3.0,,,,3.0,엘레강스캐주얼
852,0,2357200,49,48106,1.3,30,25,14.3,44.0,17.0,8.0,5.0,19.0,2.0,26.0,21.0,화장품
874,0,208000,3,69333,1.0,3,3,33.3,0.0,,2.0,1.0,,,2.0,1.0,유니캐주얼
879,0,2796820,33,84752,1.6,20,21,21.2,52.4,14.0,8.0,8.0,3.0,5.0,8.0,20.0,유니캐주얼
881,0,5682400,25,227296,2.5,16,10,52.0,40.0,2.0,8.0,5.0,10.0,1.0,9.0,15.0,수입명품
882,0,1235800,14,88271,1.7,12,7,14.3,14.3,5.0,5.0,,4.0,2.0,3.0,9.0,엘레강스캐주얼
922,0,1465300,21,69776,2.0,19,14,14.3,28.6,,9.0,2.0,10.0,3.0,11.0,7.0,화장품
927,0,2533240,37,68466,2.3,20,24,18.9,25.0,4.0,9.0,13.0,11.0,3.0,19.0,15.0,화장품
930,0,3604424,41,87913,2.4,24,25,41.5,16.0,12.0,14.0,9.0,6.0,2.0,20.0,19.0,화장품
932,0,1727200,16,107950,3.2,11,13,25.0,30.8,5.0,1.0,3.0,7.0,,10.0,6.0,장신구
944,0,741550,11,67414,1.0,10,7,18.2,28.6,4.0,4.0,1.0,2.0,,6.0,5.0,유니캐주얼
946,0,929400,5,185880,2.6,3,4,20.0,25.0,3.0,,2.0,,1.0,2.0,2.0,캐릭터캐주얼
952,0,971400,18,53967,1.6,16,11,16.7,0.0,2.0,4.0,10.0,2.0,2.0,14.0,2.0,유니캐주얼
955,0,2033000,18,112944,2.4,10,13,5.6,15.4,6.0,12.0,,,3.0,2.0,13.0,유니캐주얼
969,0,88600,2,44300,1.0,2,2,50.0,50.0,1.0,,,1.0,1.0,1.0,,유니캐주얼
971,0,421000,5,84200,1.8,3,5,20.0,0.0,2.0,1.0,1.0,1.0,,5.0,,화장품
991,0,8172461,85,96147,1.6,43,46,9.4,21.7,28.0,17.0,34.0,6.0,7.0,15.0,63.0,일반식품
997,0,1265090,12,105424,2.2,11,10,0.0,30.0,,5.0,7.0,,2.0,5.0,5.0,스포츠
1000,0,436488,7,62355,2.1,6,7,14.3,85.7,3.0,2.0,2.0,,,3.0,4.0,화장품
1003,0,4685730,35,133878,1.9,21,24,25.7,66.7,13.0,6.0,13.0,3.0,1.0,16.0,18.0,캐릭터캐주얼
1011,0,290000,7,41429,2.1,5,3,85.7,0.0,,7.0,,,,1.0,6.0,화장품
1023,0,1564000,16,97750,2.6,11,8,25.0,87.5,11.0,2.0,3.0,,,4.0,12.0,피혁B
1031,0,2157670,14,154119,5.7,7,7,7.1,42.9,8.0,2.0,2.0,2.0,,3.0,11.0,일반식품
1033,0,530000,2,265000,1.0,2,2,100.0,50.0,,2.0,,,,1.0,1.0,수입명품
1040,0,1269800,17,74694,1.7,10,13,11.8,30.8,4.0,1.0,4.0,8.0,3.0,3.0,11.0,화장품
1041,0,1652000,20,82600,2.0,13,13,40.0,23.1,8.0,2.0,7.0,3.0,4.0,14.0,2.0,화장품
1042,0,216000,6,36000,1.7,6,5,33.3,20.0,,5.0,1.0,,2.0,2.0,2.0,화장품
1068,0,196000,3,65333,1.7,2,2,66.7,50.0,2.0,,1.0,,1.0,,2.0,화장품
1079,0,7541209,115,65576,1.6,51,56,11.3,46.4,13.0,41.0,30.0,31.0,6.0,46.0,63.0,일반식품
1099,0,689200,5,137840,2.8,5,5,0.0,40.0,,,5.0,,1.0,3.0,1.0,유니캐주얼
1109,0,764551,24,31856,1.2,4,17,8.3,23.5,8.0,5.0,5.0,6.0,8.0,5.0,11.0,일반식품
1130,0,2638000,10,263800,1.6,8,6,0.0,33.3,,,2.0,8.0,3.0,,7.0,피혁B
1135,0,52600,2,26300,1.0,2,2,50.0,0.0,,,2.0,,,1.0,1.0,일반식품
1142,0,3030300,48,63131,1.8,22,31,12.5,54.8,16.0,13.0,10.0,9.0,6.0,20.0,22.0,유니캐주얼
1158,0,249000,2,124500,2.0,2,2,0.0,0.0,,1.0,1.0,,,2.0,,트래디셔널캐주얼
1161,0,690000,6,115000,2.5,5,6,16.7,33.3,,5.0,1.0,,1.0,4.0,1.0,유니캐주얼
1162,0,2349000,31,75774,1.2,13,20,32.3,65.0,3.0,10.0,14.0,4.0,,7.0,24.0,화장품
1168,0,3671500,41,89549,1.3,26,17,19.5,41.2,13.0,11.0,5.0,12.0,8.0,7.0,26.0,화장품
1181,0,4853140,51,95160,2.3,35,28,3.9,21.4,4.0,17.0,17.0,13.0,2.0,13.0,36.0,유니캐주얼
1194,0,1350800,20,67540,1.5,13,13,20.0,38.5,6.0,2.0,11.0,1.0,6.0,,14.0,화장품
1199,0,1039890,19,54731,1.6,15,18,15.8,44.4,6.0,5.0,1.0,7.0,3.0,6.0,10.0,일반식품
1214,0,529620,11,48147,1.5,9,10,9.1,30.0,2.0,3.0,3.0,3.0,,6.0,5.0,유니캐주얼
1215,0,30000,1,30000,1.0,1,1,100.0,0.0,1.0,,,,,1.0,,화장품
1217,0,997400,6,166233,1.7,5,5,0.0,100.0,,,5.0,1.0,,,6.0,피혁B
1223,0,583900,8,72988,1.8,6,5,12.5,20.0,,3.0,5.0,,,5.0,3.0,피혁B
1224,0,1698200,26,65315,1.0,17,12,0.0,41.7,1.0,6.0,18.0,1.0,6.0,5.0,15.0,일반식품
1227,0,1520800,26,58492,1.3,16,15,3.8,33.3,1.0,9.0,16.0,,2.0,9.0,15.0,화장품
1246,0,442000,3,147333,3.0,3,3,33.3,33.3,,1.0,2.0,,1.0,2.0,,화장품
1255,0,9287677,54,171994,1.2,32,22,18.5,31.8,12.0,22.0,7.0,13.0,,17.0,37.0,스포츠
1257,0,228000,6,38000,1.0,6,5,33.3,0.0,1.0,3.0,2.0,,,1.0,5.0,화장품
1263,0,1879700,18,104428,2.2,16,10,0.0,70.0,8.0,2.0,8.0,,,10.0,8.0,영캐주얼
1276,0,2438076,18,135449,2.4,17,7,16.7,14.3,,3.0,7.0,8.0,,4.0,14.0,스포츠
1300,0,5392622,213,25317,1.1,38,113,2.8,14.2,54.0,26.0,30.0,103.0,19.0,27.0,167.0,일반식품
1312,0,2313000,10,231300,2.0,10,6,40.0,16.7,7.0,1.0,2.0,,1.0,2.0,7.0,유니캐주얼
1330,0,6094242,83,73425,1.7,41,40,19.3,37.5,24.0,37.0,22.0,,3.0,48.0,32.0,화장품
1351,0,5933600,72,82411,2.3,42,28,13.9,60.7,10.0,27.0,28.0,7.0,5.0,24.0,43.0,유니캐주얼
1357,0,494400,5,98880,1.4,5,4,20.0,25.0,2.0,,3.0,,1.0,1.0,3.0,유니캐주얼
1369,0,388600,3,129533,8.7,3,2,33.3,50.0,,,3.0,,1.0,,2.0,유니캐주얼
1379,0,2154754,50,43095,1.6,24,30,0.0,56.7,6.0,12.0,18.0,14.0,5.0,14.0,31.0,일반식품
1389,0,2432300,41,59324,1.5,31,24,14.6,16.7,23.0,8.0,7.0,3.0,,19.0,22.0,섬유
1390,0,361800,6,60300,2.2,5,5,33.3,60.0,,1.0,1.0,4.0,,3.0,3.0,섬유
1402,0,2010190,17,118246,2.1,10,7,11.8,57.1,,,17.0,,1.0,8.0,8.0,섬유
1404,0,1257200,17,73953,1.9,13,10,23.5,40.0,6.0,4.0,5.0,2.0,6.0,7.0,4.0,영캐주얼
1409,0,1452800,18,80711,1.9,14,16,11.1,56.2,4.0,2.0,7.0,5.0,3.0,11.0,4.0,화장품
1440,0,991290,23,43100,1.5,11,18,8.7,5.6,4.0,5.0,10.0,4.0,1.0,21.0,1.0,화장품
1441,0,847000,6,141167,1.3,4,4,50.0,25.0,,,6.0,,,4.0,2.0,화장품
1444,0,551200,6,91867,2.3,6,5,0.0,40.0,,2.0,,4.0,1.0,4.0,1.0,유니캐주얼
1447,0,461600,9,51289,1.7,7,7,44.4,42.9,4.0,4.0,1.0,,2.0,6.0,1.0,화장품
1469,0,750600,8,93825,2.0,8,6,12.5,66.7,2.0,2.0,2.0,2.0,,2.0,6.0,유니캐주얼
1472,0,4063800,18,225767,2.1,14,7,5.6,71.4,,6.0,4.0,8.0,5.0,2.0,11.0,캐릭터캐주얼
1478,0,111000,1,111000,1.0,1,1,0.0,100.0,,1.0,,,,1.0,,화장품
1487,0,690700,22,31395,1.3,14,10,27.3,20.0,6.0,12.0,1.0,3.0,,20.0,2.0,화장품
1488,1,3762963,52,72365,2.0,26,27,0.0,63.0,15.0,18.0,7.0,12.0,8.0,8.0,36.0,영캐주얼
1497,0,62995,3,20998,1.0,2,3,0.0,33.3,,3.0,,,1.0,,2.0,일반식품
1505,0,2293600,19,120716,2.1,13,14,21.1,42.9,7.0,3.0,,9.0,2.0,7.0,10.0,화장품
1511,0,255500,3,85167,2.0,3,2,33.3,0.0,,,3.0,,1.0,,2.0,유니캐주얼
1523,0,458400,12,38200,1.7,10,9,25.0,33.3,2.0,1.0,6.0,3.0,1.0,,11.0,화장품
1531,0,760600,13,58508,2.1,11,8,7.7,50.0,5.0,3.0,3.0,2.0,,3.0,10.0,유니캐주얼
1540,0,1560620,28,55736,2.3,9,17,14.3,52.9,7.0,12.0,3.0,6.0,1.0,6.0,21.0,화장품
1541,0,5699200,71,80270,1.6,34,48,14.1,20.8,16.0,7.0,13.0,35.0,3.0,19.0,49.0,영캐주얼
1567,0,1363000,8,170375,3.6,6,5,12.5,0.0,4.0,,3.0,1.0,,7.0,1.0,장신구
1577,0,1691100,14,120793,2.1,12,10,7.1,50.0,7.0,3.0,4.0,,,2.0,12.0,유니캐주얼
1579,0,4341900,35,124054,2.3,16,19,5.7,47.4,7.0,19.0,7.0,2.0,3.0,19.0,13.0,엘레강스캐주얼
1583,1,2093900,11,190355,5.9,7,4,27.3,0.0,8.0,,3.0,,,3.0,8.0,가전
1596,0,67000,4,16750,1.0,2,1,25.0,100.0,,4.0,,,,,4.0,섬유
1621,0,1337800,50,26756,1.7,29,35,16.0,5.7,12.0,20.0,11.0,7.0,3.0,13.0,34.0,화장품
1623,0,2999629,49,61217,1.6,29,27,8.2,40.7,24.0,13.0,,12.0,2.0,30.0,17.0,화장품
1646,0,531000,9,59000,2.1,7,7,33.3,28.6,,2.0,3.0,4.0,,6.0,3.0,화장품
1653,0,1265000,10,126500,2.4,9,7,10.0,71.4,3.0,1.0,4.0,2.0,1.0,2.0,7.0,유아동복
1667,0,1137000,8,142125,2.2,7,8,12.5,62.5,2.0,1.0,4.0,1.0,,3.0,5.0,캐릭터캐주얼
1671,0,311000,6,51833,1.8,5,6,16.7,0.0,,3.0,3.0,,5.0,,1.0,영캐주얼
1686,0,506050,14,36146,1.9,11,10,7.1,60.0,4.0,3.0,4.0,3.0,,6.0,8.0,니트단품
1692,0,2809400,20,140470,2.4,15,7,60.0,71.4,7.0,,,13.0,2.0,7.0,11.0,수입명품
1709,0,62000,1,62000,3.0,1,1,100.0,100.0,,,1.0,,,,1.0,화장품
1740,0,266800,10,26680,1.0,7,6,10.0,16.7,4.0,6.0,,,1.0,,9.0,유니캐주얼
1741,0,1914100,24,79754,3.8,15,13,12.5,46.2,2.0,9.0,3.0,10.0,4.0,8.0,12.0,가전
1778,0,37000,1,37000,1.0,1,1,0.0,100.0,,,1.0,,,,1.0,화장품
1780,0,634200,18,35233,1.3,9,10,0.0,20.0,,4.0,6.0,8.0,1.0,9.0,8.0,일반식품
1785,0,1126912,13,86686,2.1,10,12,30.8,58.3,3.0,4.0,6.0,,,1.0,12.0,화장품
1791,0,2674940,29,92239,2.2,17,21,6.9,81.0,5.0,11.0,6.0,7.0,,10.0,19.0,캐릭터캐주얼
1868,0,2398600,19,126242,2.7,14,10,5.3,20.0,11.0,3.0,5.0,,,8.0,11.0,영캐주얼
1884,0,560500,5,112100,1.8,5,3,0.0,100.0,,3.0,2.0,,,5.0,,영캐주얼
1946,0,1946742,25,77870,2.0,20,16,8.0,50.0,8.0,9.0,4.0,4.0,3.0,13.0,9.0,영캐주얼
1965,0,38000,2,19000,1.0,2,1,100.0,100.0,,,2.0,,,,2.0,화장품
1968,0,228800,4,57200,1.5,4,2,25.0,50.0,3.0,,1.0,,,2.0,2.0,화장품
1978,0,570800,16,35675,1.1,9,11,37.5,18.2,1.0,3.0,5.0,7.0,5.0,1.0,10.0,화장품
1979,0,3093090,23,134482,2.9,13,9,8.7,44.4,4.0,4.0,15.0,,2.0,8.0,13.0,일반식품
2016,0,585000,3,195000,2.3,3,3,0.0,33.3,1.0,,1.0,1.0,,,3.0,캐릭터캐주얼
2017,0,2594267,39,66520,1.7,22,16,7.7,56.2,6.0,5.0,20.0,8.0,6.0,11.0,22.0,영캐주얼
2025,0,1566895,26,60265,1.1,14,18,0.0,38.9,4.0,9.0,10.0,3.0,3.0,8.0,15.0,일반식품
2027,0,1586440,23,68976,1.9,13,18,8.7,33.3,3.0,4.0,9.0,7.0,,10.0,13.0,화장품
2036,0,2095584,24,87316,1.8,19,19,25.0,47.4,11.0,3.0,5.0,5.0,1.0,13.0,10.0,화장품
2038,0,3755600,14,268257,1.6,9,10,42.9,50.0,,6.0,1.0,7.0,,9.0,5.0,수입명품
2039,0,1399500,23,60848,2.2,13,10,13.0,90.0,,4.0,19.0,,,19.0,4.0,유니캐주얼
2046,0,1859800,32,58119,2.4,19,22,9.4,22.7,15.0,7.0,2.0,8.0,11.0,13.0,8.0,캐릭터캐주얼
2048,0,411000,8,51375,1.5,7,5,25.0,100.0,2.0,6.0,,,,,8.0,화장품
2058,0,339100,9,37678,1.4,8,8,22.2,87.5,4.0,3.0,,2.0,2.0,2.0,5.0,섬유
2062,1,333000,3,111000,1.0,3,3,66.7,33.3,,2.0,1.0,,,1.0,2.0,화장품
2068,0,144572,4,36143,1.0,3,4,50.0,0.0,,2.0,2.0,,,3.0,1.0,화장품
2077,0,1415600,17,83271,2.1,15,11,5.9,72.7,3.0,5.0,3.0,6.0,2.0,3.0,12.0,화장품
2085,0,10535000,56,188125,2.1,29,24,5.4,70.8,10.0,12.0,22.0,12.0,,17.0,39.0,영캐주얼
2098,0,503100,14,35936,1.0,12,7,14.3,42.9,,,7.0,7.0,4.0,3.0,7.0,화장품
2099,0,2181200,31,70361,1.9,17,15,19.4,53.3,19.0,2.0,3.0,7.0,,15.0,16.0,장신구
2118,0,2236920,43,52021,1.5,33,30,11.6,16.7,10.0,11.0,7.0,15.0,9.0,29.0,5.0,화장품
2127,0,1236500,10,123650,2.9,9,5,50.0,80.0,1.0,6.0,3.0,,,3.0,7.0,화장품
2133,0,795200,10,79520,1.0,8,4,0.0,75.0,2.0,2.0,,6.0,,,10.0,유니캐주얼
2150,0,1878520,22,85387,1.5,15,9,22.7,11.1,,15.0,7.0,,,13.0,9.0,화장품
2155,0,1147900,13,88300,2.2,10,7,7.7,28.6,1.0,6.0,6.0,,1.0,,12.0,유니캐주얼
2160,0,3601200,37,97330,1.9,26,22,21.6,31.8,12.0,10.0,12.0,3.0,4.0,10.0,23.0,화장품
2170,0,1045500,14,74679,2.1,8,8,14.3,37.5,5.0,2.0,7.0,,2.0,8.0,4.0,화장품
2172,0,339800,5,67960,2.2,4,3,20.0,100.0,,1.0,3.0,1.0,,,5.0,일반식품
2191,0,7227043,59,122492,3.6,33,43,16.9,16.3,8.0,29.0,12.0,10.0,30.0,5.0,24.0,화장품
2194,0,463000,13,35615,1.2,9,10,15.4,50.0,4.0,3.0,6.0,,1.0,7.0,5.0,유아동복
2202,0,7447215,75,99296,1.1,43,36,14.7,38.9,26.0,15.0,15.0,19.0,6.0,19.0,50.0,유니캐주얼
2247,0,11093390,70,158477,1.1,42,57,32.9,33.3,19.0,23.0,19.0,9.0,5.0,47.0,18.0,캐릭터캐주얼
2254,0,1158842,22,52675,1.8,18,15,18.2,40.0,2.0,6.0,2.0,12.0,2.0,11.0,9.0,니트단품
2266,0,608900,9,67656,1.0,7,8,0.0,50.0,1.0,4.0,3.0,1.0,,2.0,7.0,화장품
2284,0,183000,8,22875,1.1,5,5,25.0,20.0,1.0,,1.0,6.0,,3.0,5.0,유니캐주얼
2289,0,429420,8,53678,2.0,7,6,0.0,66.7,3.0,2.0,3.0,,2.0,3.0,3.0,정장셔츠
2305,0,506300,10,50630,1.4,10,7,20.0,42.9,1.0,6.0,2.0,1.0,,5.0,5.0,화장품
2316,0,974200,13,74938,2.4,9,9,0.0,44.4,1.0,1.0,9.0,2.0,1.0,1.0,11.0,유니캐주얼
2320,0,314000,3,104667,1.7,3,3,33.3,0.0,1.0,,2.0,,1.0,2.0,,피혁A
2330,0,1650600,19,86874,2.4,14,10,10.5,40.0,13.0,,4.0,2.0,2.0,7.0,10.0,영캐주얼
2351,0,1082620,31,34923,1.7,16,23,3.2,8.7,2.0,8.0,8.0,13.0,7.0,4.0,20.0,화장품
2361,0,2583500,14,184536,2.4,12,12,21.4,66.7,2.0,5.0,2.0,5.0,2.0,5.0,7.0,캐릭터캐주얼
2363,0,192000,1,192000,3.0,1,1,100.0,0.0,,,1.0,,,1.0,,화장품
2380,0,64500,2,32250,1.0,2,1,0.0,0.0,,2.0,,,,,2.0,유아동복
2381,0,5750000,53,108491,2.5,21,21,15.1,23.8,6.0,17.0,18.0,12.0,22.0,12.0,19.0,스포츠
2419,0,52000,2,26000,1.0,2,1,50.0,0.0,2.0,,,,,,2.0,섬유
2422,0,2785193,30,92840,2.2,21,19,0.0,36.8,7.0,7.0,12.0,4.0,4.0,6.0,20.0,일반식품
2429,0,3517500,38,92566,1.8,30,19,13.2,36.8,10.0,20.0,4.0,4.0,5.0,25.0,8.0,섬유
